Order_date,Region,State,Product_SKU,Sales,Predicted_values
2014-12-25 00:00:00,Central,California,BV-23,159,236.65999432140364
2014-12-26 00:00:00,Central,California,BV-23,197,245.8951536613658
2014-12-27 00:00:00,Central,California,BV-23,183,167.1919672473812
2014-12-28 00:00:00,Central,California,BV-23,167,172.74356854317728
2014-12-29 00:00:00,Central,California,BV-23,246,229.1397845857257
2014-12-30 00:00:00,Central,California,BV-23,266,245.33267949186407
2014-12-31 00:00:00,Central,California,BV-23,198,243.90503723163533
2015-01-01 00:00:00,Central,California,BV-23,,236.65999432140364
2015-01-02 00:00:00,Central,California,BV-23,,245.8951536613658
2015-01-03 00:00:00,Central,California,BV-23,,167.1919672473812
2015-01-04 00:00:00,Central,California,BV-23,,172.74356854317728
2015-01-05 00:00:00,Central,California,BV-23,,229.1397845857257
2015-01-06 00:00:00,Central,California,BV-23,,245.33267949186407
2015-01-07 00:00:00,Central,California,BV-23,,243.90503723163533
2014-12-25 00:00:00,Central,California,CD-24,155,249.77650985439328
2014-12-26 00:00:00,Central,California,CD-24,168,177.85027443753978
2014-12-27 00:00:00,Central,California,CD-24,172,173.72121861787187
2014-12-28 00:00:00,Central,California,CD-24,230,230.66267915181916
2014-12-29 00:00:00,Central,California,CD-24,234,243.85419082053815
2014-12-30 00:00:00,Central,California,CD-24,247,236.69118760490463
2014-12-31 00:00:00,Central,California,CD-24,194,248.85373796752276
2015-01-01 00:00:00,Central,California,CD-24,,249.77650985439328
2015-01-02 00:00:00,Central,California,CD-24,,177.85027443753978
2015-01-03 00:00:00,Central,California,CD-24,,173.72121861787187
2015-01-04 00:00:00,Central,California,CD-24,,230.66267915181916
2015-01-05 00:00:00,Central,California,CD-24,,243.85419082053815
2015-01-06 00:00:00,Central,California,CD-24,,236.69118760490463
2015-01-07 00:00:00,Central,California,CD-24,,248.85373796752276
2014-12-24 00:00:00,Central,New York,BV-23,167,196.16254663714375
2014-12-25 00:00:00,Central,New York,BV-23,178,190.0592783033249
2014-12-26 00:00:00,Central,New York,BV-23,180,247.55090067551413
2014-12-27 00:00:00,Central,New York,BV-23,174,265.7151296946691
